Bee species	Plant genus	Plant species	Plant family	Females	Males
	Eucalyptus	socialis	Myrtaceae	2	
	Eucalyptus	yalatensis	Myrtaceae	3	
	Grevillea		Proteaceae	1	
	Melaleuca		Myrtaceae	4	
Euhesma (Euhesma) fasciatella					
	Eucalyptus	calycogona	Myrtaceae	1	
Euhesma (Euhesma) latissima					
	Banksia	integrifolia	Proteaceae	14	2
	Eucalyptus		Myrtaceae	1	
Euhesma (Euhesma) lobata					
	Grevillea	juncifolia	Proteaceae	1	
	Grevillea	pteridophylla	Proteaceae		1
Euhesma (Euhesma) neglectula					
	Acacia	brachybotrya	Fabaceae	1	
	Acacia	buxifolia	Fabaceae	1	
	Acacia	johnsonii	Fabaceae	1	
	Acacia	rubida	Fabaceae	5	
	Acacia		Fabaceae	4	1
	Angophora	floribunda	Myrtaceae	5	
	Angophora	hispida	Myrtaceae		4
	Boronia	occidentalis	Araliaceae	1	
	Eucalyptus		Myrtaceae	4	
	Leptospermum		Myrtaceae	1	
	Lophostemon	confertus	Myrtaceae	11	
Euhesma (Euhesma) nitidifrons					
	Grevillea	laurifolia	Proteaceae		1
	Leptospermum		Myrtaceae	5	
	Leptospermum	squarrosum	Myrtaceae	1	
	Leptospermum	trinervum	Myrtaceae	4	
Euhesma (Euhesma) palpalis					
	Mirbelia	platylobioides	Fabaceae	1	10
Euhesma (Euhesma) ridens					
	Leptospermum	polygalifolium	Myrtaceae	2	6
	Leptospermum		Myrtaceae	11	2
	Leptospermum	trinervum	Myrtaceae	3	5
Euhesma (Euhesma) scoparia					
	Acacia		Fabaceae	1	
	Eremophila	scoparia	Scrophulariaceae	2	10
Euhesma (Euhesma) sturtiensis					
	Eremophila	mitchellii	Scrophulariaceae	8	21
	Eremophila	sturtii	Scrophulariaceae	31	37
Euhesma (Euhesma) subinconspicua					
	Calytrix		Myrtaceae	1	
	Eremophila	sturtii	Scrophulariaceae	3	
Euhesma (Euhesma) sybilae					
	Eremophila	sturtii	Scrophulariaceae	1	
Euhesma (Euhesma) wahlenbergiae					
	Wahlenbergia		Campanulaceae	31	39
Euhesma (Euhesma) walkeriana					
	Calytrix	tetragona	Myrtaceae	1	
Euhesma (Euhesma) msp. basin					
	Philotheca	salsolifolia	Rutaceae	1	
Euhesma (Euhesma) msp. bclypeus					
	Kunzea	ambigua	Myrtaceae	1	6
	Leptospermum		Myrtaceae	2	7
	Leptospermum	trinervum	Myrtaceae	17	20
Euhesma (Euhesma) msp. bilpin					
	Pultenaea	scabra	Fabaceae	3	2
Euhesma (Euhesma) msp. carp					
	Carpobrotus		Aizoaceae	7	5
	Disphyma	crassifolium	Aizoaceae	12	2
Euhesma (Euhesma) msp. condo					
	Calytrix	tetragona	Myrtaceae	8	1
	Leptospermum	divaricatum	Myrtaceae	6	13
	Leptospermum		Myrtaceae	2	6
Euhesma (Euhesma) msp. esp					
	Daviesia	benthamii	Fabaceae	3	3
	Daviesia		Fabaceae	4	4
Euhesma (Euhesma) msp. grevill					
	Grevillea	teretifolia	Proteaceae	1	
	Hakea	francisiana	Proteaceae	1	
Euhesma (Euhesma) msp. impunct					
	Leptospermum		Myrtaceae	1	
Euhesma (Euhesma) msp. joadja					
	Gompholobium	minus	Fabaceae	6	2
	Goodenia	hederacea	Goodeniaceae		1
Euhesma (Euhesma) msp. M					
	Dillwynia	floribunda	Fabaceae		1
	Eriostemon	australasius	Rutaceae	1	
Euhesma (Euhesma) msp. marra1					
	Leptospermum		Myrtaceae	8	
	Leptospermum	trinervum	Myrtaceae	1	
Euhesma (Euhesma) msp. mitra					
	Dillwynia	floribunda	Fabaceae	1	
	Mitrasacme	polymorpha	Loganiaceae		1
	Wahlenbergia		Campanulaceae		2
Euhesma (Euhesma) msp. moema					
	Wahlenbergia		Campanulaceae		2
Euhesma (Euhesma) msp. mw					
	Boronia	ledifolia	Rutaceae	2	
Euhesma (Euhesma) msp. pelliptica					
	Goodenia	bellidifolia	Goodeniaceae		1
	Pultenaea	boormanii	Fabaceae	1	
	Pultenaea	tuberculata	Fabaceae	10	5
Euhesma (Euhesma) msp. pinn					
	Baeckea	crassifolia	Myrtaceae		2
Euhesma (Euhesma) msp. simD					
	Newcastelia	cephalantha	Lamiaceae	26	9
	Trachymene	glaucifolia	Araliaceae	1	
Euhesma (Euhesma) msp. tootie					
	Leptospermum	trinervum	Myrtaceae	1	
Euhesma (Euhesma) msp. vert					
	Verticordia	chrysantha	Myrtaceae		2
	Verticordia	picta	Apiaceae	1	13
	Verticordia	picta	Myrtaceae	1	13
	Verticordia	pritzelii	Myrtaceae	4	1
Euhesma (Euhesma) msp. wh					
	Thryptomene		Myrtaceae	2	
Euhesma (Euhesma) sp. unsorted					
	Acacia	johnsonii	Fabaceae	1	
	Angophora	hispida	Myrtaceae	1	
	Boronia	ledifolia	Rutaceae		1
	Bossiaea	spinescens	Fabaceae		2
	Calytrix	tetragona	Myrtaceae	13	
	Dampiera		Goodeniaceae	1	
	Daviesia	mimosoides	Fabaceae		1
	Dianella	caerulea	Hemerocallidaceae		1
	Dillwynia	floribunda	Fabaceae	3	
	Eremophila	mitchellii	Scrophulariaceae	1	
	Eucalyptus		Myrtaceae	2	
	Gastrolobium	crassifolium	Fabaceae	2	
	Gastrolobium		Fabaceae	4	
	Hakea	mitchellii	Proteaceae	1	
	Kunzea	ambigua	Myrtaceae	1	
	Kunzea	brevifolia	Myrtaceae	1	
	Leptospermum	continentale	Myrtaceae	1	
	Leptospermum	divaricatum	Myrtaceae	3	
	Leptospermum	myrsinoides	Myrtaceae	2	
	Leptospermum	parvifolium	Myrtaceae	5	1
	Leucopogon	virgatus	Ericaceae	1	
	Mirbelia	rubiifolia	Fabaceae	2	
	Mirbelia	viminalis	Fabaceae	5	1
	Mitrasacme	polymorpha	Loganiaceae		4
	Persoonia	chamaepitys	Proteaceae		1
	Phyllota	phylicoides	Fabaceae	2	
	Platysace	ericoides	Apiaceae	1	
	Pultenaea	foliolosa	Fabaceae	2	3
	Pultenaea	scabra	Fabaceae	1	1
	Wahlenbergia		Campanulaceae		2
Euryglossa adelaidae					
	Angophora	floribunda	Myrtaceae	4	
	Eucalyptus		Myrtaceae	1	1
	Eucalyptus	dumosa	Myrtaceae	2	5
	Eucalyptus	socialis	Myrtaceae		1
	Eucalyptus		Myrtaceae	4	
	Eucalyptus		Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae	1	
	Melaleuca		Myrtaceae	1	4
	Melaleuca	uncinata	Myrtaceae		2
Euryglossa alincia					
	Eucalyptus		Myrtaceae		1
Euryglossa aureopilosa					
	Leptospermum	polygalifolium	Myrtaceae	1	1
Euryglossa capitata					
	Angophora	hispida	Myrtaceae	1	
Euryglossa cupreochalybea					
	Eucalyptus		Myrtaceae	1	
Euryglossa depressa					
	Eucalyptus		Myrtaceae		1
	Eucalyptus		Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae	1	
	Leptospermum	continentale	Myrtaceae		1
	Leptospermum	myrsinoides	Myrtaceae		3
	Leptospermum		Myrtaceae		1
Euryglossa edwardsii					
	Eucalyptus	albens	Myrtaceae	2	
	Hakea		Proteaceae	1	3
Euryglossa ephippiata					
	Angophora	floribunda	Myrtaceae	2	
	Angophora	hispida	Myrtaceae	1	
	Eucalyptus		Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae	2	2
	Leptospermum		Myrtaceae	5	2
	Leptospermum	trinervum	Myrtaceae	1	1
Euryglossa nigrocaerulea					
	Angophora	hispida	Myrtaceae	3	
	Bursaria	spinosa	Pittosporaceae	1	
	Eucalyptus		Myrtaceae	2	3
	Eucalyptus	burgessiana	Myrtaceae	2	1
	Eucalyptus	socialis	Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae	1	1
	Leptospermum	polygalifolium	Myrtaceae		1
Euryglossa subsericea					
	Angophora	floribunda	Myrtaceae	3	3
	Angophora	hispida	Myrtaceae	1	1
	Eucalyptus		Myrtaceae	1	1
	Kunzea	ambigua	Myrtaceae	1	3
	Leptospermum		Myrtaceae	2	2
	Leptospermum	trinervum	Myrtaceae		1
	Syzygium		Myrtaceae		1
Euryglossa terminata					
	Leptospermum	polygalifolium	Myrtaceae	1	
Euryglossa trichoda					
	Eucalyptus		Myrtaceae	5	
Euryglossa sp. unsorted					
	Eucalyptus		Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae	1	
Euryglossina (Euryglossina) argocephala					
	Corymbia	eximia	Myrtaceae	6	2
	Eucalyptus		Myrtaceae	2	
Euryglossina (Euryglossina) atomaria					
	Acacia	parramattensis	Fabaceae	1	
	Angophora	hispida	Myrtaceae	3	4
	Leptospermum		Myrtaceae	5	
Euryglossina (Euryglossina) atra					
	Corymbia	eximia	Myrtaceae	3	
	Leptospermum	polygalifolium	Myrtaceae	3	
Euryglossina (Euryglossina) cockerelli					
	Angophora	bakeri	Myrtaceae	2	
	Callistemon	citrinus	Myrtaceae	6	1
	Callistemon		Myrtaceae	1	
	Corymbia	eximia	Myrtaceae	6	1
	Leptospermum	polygalifolium	Myrtaceae	2	2
	Melaleuca	quinquinerva	Myrtaceae	1	
	Melaleuca		Myrtaceae	1	
Euryglossina (Euryglossina) doddi					
	Corymbia	terminalis	Myrtaceae	2	4
Euryglossina (Euryglossina) flaviventris					
	Callistemon	citrinus	Myrtaceae	2	
	Corymbia	tesselaris	Myrtaceae	1	
Euryglossina (Euryglossina) flavolateralis					
	Angophora	floribunda	Myrtaceae	1	
	Corymbia	eximia	Myrtaceae	1	
	Eucalyptus		Myrtaceae	1	
Euryglossina (Euryglossina) fuscescens					
	Angophora	floribunda	Myrtaceae	3	1
	Angophora	hispida	Myrtaceae	2	
	Brachychiton	populneum	Malvaceae	5	
	Callistemon	citrinus	Myrtaceae	6	
	Callistemon		Myrtaceae	2	2
	Leptospermum	polygalifolium	Myrtaceae	1	
	Leptospermum	trinervum	Myrtaceae	1	
Euryglossina (Euryglossina) gilberti					
