Bee species	Flower genus	Flower species	Flower family	Females	Males
	Eremophila	mitchellii	Scrophulariaceae	7	
	Eucalyptus	socialis	Myrtaceae	1	
	Eucalyptus		Myrtaceae	2	
	Melaleuca	decussata	Myrtaceae		4
	Melaleuca	uncinata	Myrtaceae		1
	Pultenaea	flexilis	Fabaceae	3	
	Senna	circinata	Fabaceae	4	
Lasioglossum (Chilalictus) fasciatum					
	Disphyma	crassifolium	Aizoaceae	4	
	Eremophila	polyclada	Scrophulariaceae	1	5
	Eremophila	scoparia	Scrophulariaceae	1	
	Melaleuca		Myrtaceae	2	
Lasioglossum (Chilalictus) florale					
	Eremophila	scoparia	Scrophulariaceae	1	
	Eremophila		Scrophulariaceae	1	
	Eucalyptus	calycogona	Myrtaceae	1	
	Haloragis	trigonocarpa	Haloragaceae	1	3
	Leptospermum		Myrtaceae	2	
	Melaleuca		Myrtaceae	7	5
	Nitraria	billardierei	Nitrariaceae		1
Lasioglossum (Chilalictus) gilesi					
	Acacia	buxifolia	Fabaceae	1	
	Acacia	dealbata	Fabaceae	1	
	Bauera	rubiodes	Cunoniaceae	1	
	Bursaria	spinosa	Pittosporaceae	4	
	Eucalyptus	piperita	Myrtaceae	3	
	Eucalyptus		Myrtaceae	1	
	Eucalyptus		Myrtaceae	1	
	Jacksonia	scoparia	Fabaceae	1	
	Leptospermum		Myrtaceae	1	
	Prostanthera	scutellarioides	Lamiaceae	1	
	Pultenaea		Fabaceae	1	
	Senecio	amygdalifolia	Asteraceae	1	
	Senna		Fabaceae	1	
	Wahlenbergia		Campanulaceae	8	
Lasioglossum (Chilalictus) globosum					
	Calotis	cuneifolia	Asteraceae	4	1
	Wahlenbergia		Campanulaceae	2	10
Lasioglossum (Chilalictus) greavesi					
	Acacia		Fabaceae	2	
	Eremophila	deserti	Scrophulariaceae	2	
	Eremophila	scoparia	Scrophulariaceae	1	
	Eremophila	sturtii	Scrophulariaceae	1	
	Olearia		Asteraceae	1	
Lasioglossum (Chilalictus) grumiculum					
	Cryptandra	spinescens	Rhamnaceae		2
	Epacris	microphylla	Ericaceae	1	
Lasioglossum (Chilalictus) gunbowerense					
