Bee species	Flower genus	Flower species	Flower family	Females	Males
Hylaeus (Euprosopoides) perplexus					
	Angophora	hispida	Myrtaceae	2	1
	Banksia	aemula	Proteaceae	1	
	Leptospermum		Myrtaceae		1
Hylaeus (Euprosopoides) rotundiceps					
	Angophora	floribunda	Myrtaceae		1
	Eucalyptus		Myrtaceae	2	
	Jacksonia	scoparia	Fabaceae		1
	Melaleuca		Myrtaceae		1
	Tristaniopsis	laurina	Myrtaceae	1	
Hylaeus (Euprosopoides) ruficeps					
	Angophora	floribunda	Myrtaceae		1
	Eucalyptus		Myrtaceae	2	
	Ligustrum	lucidum	Oleaceae	2	1
Hylaeus (Gnathoprosopis) albonitens					
	Callistemon		Myrtaceae	2	1
	Corymbia	intermedia	Myrtaceae	1	1
	Corymbia	terminalis	Myrtaceae	4	6
	Eucalyptus	crebra	Myrtaceae		1
	Eucalyptus		Myrtaceae	3	2
Hylaeus (Gnathoprosopis) amiculiformis					
	Callistemon		Myrtaceae	2	3
Hylaeus (Gnathoprosopis) amiculinus					
	Angophora	bakeri	Myrtaceae		3
	Angophora	floribunda	Myrtaceae	2	5
	Bursaria	spinosa	Pittosporaceae	1	3
	Callistemon	citrinus	Myrtaceae	6	9
	Callistemon		Myrtaceae		1
	Cassinia	laevis	Asteraceae		3
	Eremophila	deserti	Scrophulariaceae		1
	Eucalyptus		Myrtaceae		1
	Grevillea		Proteaceae	1	3
	Leptospermum	polygalifolium	Myrtaceae		2
